Name In Literature,Interpreted/Updated name,Literature
Acacia aneustissime,Acaciella angustissima,McElrath T (2023b). Illinois Natural History Survey Insect Collection. Illinois Natural History Survey. Occurrence dataset https://doi.org/10.15468/eol0pe accessed via GBIF.org on 2025-12-10. https://www.gbif.org/occurrence/3801940257
Chrysothamnus sp.,Chrysothamnus sp.,"LaBerge, W.E. (1961) ‘A revision of the bees of the genus melissodes in north and Central America. part III (hymenoptera, Apidae)’, The University of Kansas science bulletin, 42(5), pp. 283–663. doi:10.5962/bhl.part.9821."
Haplopappus arborescens,Ericameria arborescens,McElrath T (2023a). Illinois Natural History Survey Insect Collection. Illinois Natural History Survey. Occurrence dataset https://doi.org/10.15468/eol0pe accessed via GBIF.org on 2025-12-10. https://www.gbif.org/occurrence/3801937267
Melilotus sp.,Melilotus sp.,"LaBerge, W.E. (1961) ‘A revision of the bees of the genus melissodes in north and Central America. part III (hymenoptera, Apidae)’, The University of Kansas science bulletin, 42(5), pp. 283–663. doi:10.5962/bhl.part.9821."
Penstemon palmeri,Penstemon palmeri,"LaBerge, W.E. (1961) ‘A revision of the bees of the genus melissodes in north and Central America. part III (hymenoptera, Apidae)’, The University of Kansas science bulletin, 42(5), pp. 283–663. doi:10.5962/bhl.part.9821."
