Name In Literature,Interpreted/Updated name,Literature
Callirhoe sp.,Callirhoe sp.,"LaBerge, Wallace E. (1963), ""New Species and Records of Little-known Species of Melissodes from North America (Hymenoptera: Anthophoridae)"". Bulletin of the University of Nebraska State Museum. 9. http://digitalcommons.unl.edu/museumbulletin/9"
Gaillardia suavis,Gaillardia suavis,"LaBerge, Wallace E. (1963), ""New Species and Records of Little-known Species of Melissodes from North America (Hymenoptera: Anthophoridae)"". Bulletin of the University of Nebraska State Museum. 9. http://digitalcommons.unl.edu/museumbulletin/10"
